No,SKU,Urun Adi,Sorun,Ana Kategori,Mevcut Kategoriler
56,9805.IM45N.EHC,"Hoshizaki IM-45CNE-HC Küp Buz Makinesi, 46 kg/gün Kapasiteli",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
57,9805.IM65N.EHC,"Hoshizaki IM-65NE-HC Küp Buz Makinesi, 62 kg/gün Kapasiteli",Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
58,9805.00IMD.00,Hoshizaki TK-IMD2 Buz Makinesi Bağlantı Kiti,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
59,,MAZZER Phılos Tek Doz Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
60,,Mazzer Kold S Elektronik Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
61,,Mazzer Kony S Elektronik Espresso Değirmeni ,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
62,,Mazzer Kony SG Elektronik Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
63,,Mazzer Lux Manuel Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
64,,Mazzer Major V Elektronıc Espresso Değirmeni ,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
65,,Mazzer Major VP Electronıc Espresso Değirmeni ,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
66,,Mazzer Mini Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
67,,Mazzer Omega El Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
68,,Mazzer Robur S Elektronik Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
69,,Mazzer Süper Jolly Grocery Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
70,,Mazzer Süper Jolly V Pro Elektronik Espresso Değirmeni ,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
71,,Mazzer Süper Jolly V Up Elektronik Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
72,,Mazzer ZM Elektronik Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
73,,Mazzer ZM Plus Elektronik Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
74,,Santos NO 01-Bar Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
75,,Santos NO 43 N Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
76,,Santos NO 63 Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
77,,Santos NO 76 Kahve Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
78,,Santos No 59 Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
79,,Santos No 67 Espresso Değirmeni,Ana kategori: Tum Urunler -> degistirilmeli,Tüm Ürünler,Tüm Ürünler
80,9805.SDE18.00,Simag SDE18 Küp Buz Makinesi 18 kg/gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
81,9805.SDE220.00,Simag SDE220 Küp Buz Makinesi 215 Kg/Gün Kendinden Hazneli,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
82,9805.SDE24.00,Simag SDE24 Küp Buz Makinesi 24 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
83,9805.SDE30.00,Simag SDE30 Küp Buz Makinesi 30 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
84,9805.SDE40.00,Simag SDE40 Küp Buz Makinesi 38 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
85,9805.SDE50.00,Simag SDE50 Küp Buz Makinesi 47 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
86,9805.SDE64.00,Simag SDE64 Küp Buz Makinesi 63 Kg/Gün,Eksik kategoriler: Ana Mutfak Ekipmanları > Buz Makinesi,Ana Mutfak Ekipmanları,"Ana Mutfak Ekipmanları, Tüm Ürünler, Endüstriyel Buz Makinesi"
